Chapter ID,Order No,Video Name,Video URL
22,5,Distance between lines,https://www.youtube.com/watch?v=FU4BTpMkBGk&list=PLZ9LVTcy9PK3LJTet5ISYn_s3RFRayaZv&index=2&pp=iAQB0gcJCSkKAYcqIYzv
22,6,Concurrency and Parts of triangle,https://www.youtube.com/watch?v=0dme4Q_Ne20&list=PLZ9LVTcy9PK3LJTet5ISYn_s3RFRayaZv&index=1&pp=iAQB0gcJCSkKAYcqIYzv
23,8,Introduction,https://www.youtube.com/watch?v=dtVqsdU6xxw&list=PLZ9LVTcy9PK2fEldlez_Cv_UiGC-eNGSY&index=1&pp=iAQB0gcJCSkKAYcqIYzv
23,9,Properties of Ellipses,https://www.youtube.com/watch?v=ZtLeCGv-lSk&list=PLZ9LVTcy9PK2fEldlez_Cv_UiGC-eNGSY&index=2&pp=iAQB2AYC
23,1,Basic Concepts,https://www.youtube.com/watch?v=BDNls84s5ck&list=PLZ9LVTcy9PK20Krr94fnYz9GDeyUbIKWY&index=4&pp=iAQB
23,2,General equation of circles,https://www.youtube.com/watch?v=hTMKne9HBzw&list=PLZ9LVTcy9PK20Krr94fnYz9GDeyUbIKWY&index=3&pp=iAQB
23,3,Standard Notation of circles,https://www.youtube.com/watch?v=Oi6fvz54tQQ&list=PLZ9LVTcy9PK20Krr94fnYz9GDeyUbIKWY&index=2&pp=iAQB
23,4,Equation of Chords in circles,https://www.youtube.com/watch?v=3TKku7NdINk&list=PLZ9LVTcy9PK20Krr94fnYz9GDeyUbIKWY&index=1&pp=iAQB
15,1,Introduction to Sets,https://www.youtube.com/watch?v=QTBKud1dDI8&list=PLZ9LVTcy9PK2bnB89D-tjl2vTiWMkxWb2&index=6&pp=iAQB2AYY
15,2,Subsets and Supersets,https://www.youtube.com/watch?v=zlyB6yy5QRA&list=PLZ9LVTcy9PK2bnB89D-tjl2vTiWMkxWb2&index=5&pp=iAQB
15,3,Set Operations and Venn Diagrams,https://www.youtube.com/watch?v=JZyE6CWOyng&list=PLZ9LVTcy9PK2bnB89D-tjl2vTiWMkxWb2&index=4&pp=iAQB
15,4,Introduction to Relations,https://www.youtube.com/watch?v=QGZJfQ7yFvo&list=PLZ9LVTcy9PK2bnB89D-tjl2vTiWMkxWb2&index=3&pp=iAQB
15,5,Introduction to Functions,https://www.youtube.com/watch?v=W0xJCGek67Q&list=PLZ9LVTcy9PK2bnB89D-tjl2vTiWMkxWb2&index=2&pp=iAQB
15,6,Operations on Functions,https://www.youtube.com/watch?v=JbmCLQuWyOM&list=PLZ9LVTcy9PK2bnB89D-tjl2vTiWMkxWb2&index=1&pp=iAQB
